28667,2000,75
58845,1998,86
60821,2000,80
68239,2008,96
66429,2000,84
39850,2000,85
66368,2000,97
66667,2000,84
56445,1994,90
59310,1998,86
84375,1995,80
58334,1994,84
69073,1996,97
34247,1990,73
28403,1990,67
77893,2014,96
80747,2008,88
56250,2000,80
53750,2000,80
79167,1997,96
39519,2004,83
53334,2000,60
33885,2005,95
58334,1996,84
59881,2000,83
59211,1994,76
56494,1998,77
51613,2000,62
22308,2010,65
64103,1997,78
28511,2000,70
55854,2000,86
54920,2020,79
29334,2000,75
48572,1998,70
38292,1997,83
59660,2019,88
50000,2000,70
52858,2000,70
51995,2008,70
60821,2000,72
51884,2006,73
46622,2002,74
56054,2008,98
61150,2008,98
72004,2015,94
67583,2004,91
56180,2005,89
48877,2004,89
69303,2007,98
53933,2003,89
50562,2005,89
38715,2000,80
55283,2005,73
60821,2002,91
48877,2006,89
45645,1999,76
80809,2001,74
53933,2005,89
60440,2002,91
96957,2008,73
38851,2002,87
48731,2005,94
59311,1994,80
51884,2006,93
60821,1999,91
77938,1998,98
42987,2009,97
42987,2008,97
63248,2005,87
69740,2004,75
33684,2000,64
56014,2003,64
53615,1998,83
34782,2000,81
98959,2012,96
82106,1999,95
75049,1997,82
40274,1999,81
75049,1999,82
40757,2003,96
68684,2004,75
33530,2000,85
46655,2000,81
89474,1996,95
56378,2000,99
75049,1999,82
79537,2012,74
80747,2008,63
58286,1998,70
63254,2002,83
48731,2005,92
37374,2000,99
40757,2001,96
51429,2003,91
60000,2014,95
51884,2005,95
63856,1999,83
75485,2001,89
81247,2012,63
65041,1998,73
75485,2008,89
75269,1995,93
72728,2004,88
54187,2006,86
39569,1999,69
74887,2000,92
35165,2002,91
42291,1999,72
96959,2012,98
84074,2013,95
120408,2012,90
58366,2016,84
84118,2015,95
64820,1996,83
82322,2000,97
84074,2013,95
34192,2002,68
52159,2002,89
65512,2003,90
65512,2003,90
62862,2004,95
65625,1999,96
49398,2010,83
92641,2014,93
43058,2008,84
55734,2000,75
38971,2002,68
70863,2015,82
99889,2006,80
92641,2008,93
55854,2003,86
92641,2012,93
43374,2005,83
60821,1998,77
83372,2018,88
83939,2019,88
84619,2016,86
83249,2006,88
51884,2005,81
83372,2016,88
95078,1999,94
55854,2007,92
60440,2002,91
39587,2010,87
53371,2002,75
55854,2005,86
75049,1995,82
92641,2008,93
99889,2009,80
52137,1999,74
75049,1997,82
33412,2005,94
97848,2009,97
75049,1995,82
54435,1999,65
40267,2015,88
36506,2000,79
48731,2004,78
60821,1996,78
84166,2016,89
79526,2015,84
60821,1998,77
67755,2002,68
92250,2004,80
60821,1996,77
67755,2005,68
92641,2014,70
56358,2017,79
51667,1980,90
88236,2000,85
46674,2005,93
39616,2002,67
62292,1997,96
58530,1991,68
39631,2008,60
89043,2004,94
52406,2000,74
54920,2016,87
53749,2000,74
87641,2016,89
73835,1999,86
79412,2008,85
87641,2016,89
79488,1998,78
59660,2000,88
87641,2016,89
75745,2008,86
33402,2000,68
63889,1998,72
53371,2000,75
75745,2003,86
77204,2009,68
37500,2002,64
30959,2003,73
55854,2000,82
66400,2004,75
50474,2007,64
62993,2000,127
93901,2012,95
48649,2001,74
92641,2015,84
72922,2005,87
22762,2016,66
70000,2001,70
54033,2003,75
66475,2016,90
84882,2000,127
96957,2004,81
58567,1996,64
75745,2006,92
94260,2004,82
92641,2012,93
110206,2006,78
66300,2016,76
57261,2014,73
40396,2005,72
75745,2004,92
75745,2005,92
68897,2004,88
96957,2005,82
51352,2001,74
41118,1998,85
32352,1999,75
126383,2009,88
75745,2004,92
54792,2000,96
96074,2006,83
55209,2002,96
81619,2008,84
96957,2009,81
66516,2005,61
102130,2003,161
79033,1996,62
51995,2008,75
80747,2010,88
72179,2008,76
64740,2001,142
77166,2000,127
60000,2000,70
38310,2005,75
22534,2015,75
69934,2016,76
51995,2008,75
92641,2009,93
97620,2000,84
54311,1999,116
96957,2005,82
33328,1996,56
25943,1980,73
52159,2002,94
58567,1998,64
82155,2002,74
52159,2003,94
121053,2010,95
34338,2006,83
63519,2015,72
75745,2006,92
55854,2006,78
48235,2000,64
51884,2005,77
73582,2015,96
66295,2015,76
92641,2008,145
61644,2014,73
51819,1997,44
80556,2000,72
59635,1994,66
87500,2006,72
62610,1994,68
60821,2000,70
73854,2000,89
72750,2016,96
53750,2002,80
53956,2000,106
82678,2007,127
75745,2005,126
75591,2006,127
55854,2004,76
51878,1997,74
78083,2004,128
65959,2015,72
57966,2002,76
94168,2004,65
91579,2015,95
51900,1998,79
54715,1995,65
92641,2008,145
54920,2020,81
55854,2007,78
60821,1996,74
68132,2004,91
100788,2006,127
67913,2004,91
79385,2002,65
57500,1995,76
60442,2004,124
75745,2006,118
99459,2001,90
51878,2010,116
58567,1998,64
52159,2003,94
82155,2002,74
121053,2010,95
34338,2006,83
63519,2015,72
75745,2006,92
55854,2006,78
48235,2000,64
66035,2016,76
51884,2005,77
73582,2015,96
66295,2015,76
92641,2008,145
65370,2006,96
61644,2014,73
51819,1997,44
80556,2000,72
59635,1994,66
87500,2006,72
62610,1994,68
60821,2000,70
73854,2000,89
72750,2016,96
53750,2002,80
53956,2000,106
82678,2007,127
75745,2005,126
75591,2006,127
55854,2004,76
51878,1997,74
78083,2004,128
65959,2015,72
57966,2002,76
94168,2004,65
91579,2015,95
51900,1998,79
54715,1995,65
92641,2008,145
54920,2020,81
55854,2007,78
80069,1998,97
60821,1996,74
68132,2004,91
100788,2006,127
67913,2004,91
79385,2002,65
57500,1995,76
60442,2004,124
75745,2006,118
99459,2001,90
39316,2000,101
51878,2010,116
63145,2005,77
51884,2008,99
71429,2004,91
92641,2008,145
44872,2000,78
88618,2004,123
50650,2000,77
66295,2015,76
92641,2008,145
65370,2006,96
61644,2014,73
51819,1997,44
80556,2000,72
59635,1994,66
87500,2006,72
62610,1994,68
60821,2000,70
73854,2000,89
72750,2016,96
53750,2002,80
53956,2000,106
82678,2007,127
75745,2005,126
75591,2006,127
55854,2004,76
51878,1997,74
78083,2004,128
65959,2015,72
57966,2002,76
94168,2004,65
91579,2015,95
51900,1998,79
54715,1995,65
92641,2008,145
54920,2020,81
55854,2007,78
80069,1998,97
60821,1996,74
68132,2004,91
100788,2006,127
45000,1999,100
67913,2004,91
79385,2002,65
57500,1995,76
60442,2004,124
75745,2006,118
99459,2001,90
39316,2000,101
51878,2010,116
63145,2005,77
51884,2008,99
71429,2004,91
92641,2008,145
